participant_id	age	sex
sub-101	19	M
sub-102	22	F
sub-103	23	M
sub-104	22	F
sub-105	21	F
sub-106	20	F
sub-107	25	F
sub-108	24	F
sub-109	24	F
sub-110	34	M
sub-111	22	F
sub-112	18	M
sub-113	25	M
sub-114	20	F
sub-115	21	F
sub-116	23	M
sub-117	23	M
sub-118	22	F
sub-119	24	M
sub-120	19	M
sub-121	21	M
sub-122	19	F
sub-123	21	F
sub-124	22	F
sub-125	21	F
sub-126	25	F
sub-127	21	F
sub-128	22	M
sub-129	22	F
sub-130	21	F
sub-131	20	M
sub-132	24	M
sub-133	22	F
sub-134	21	M
sub-135	31	F
sub-136	18	F
sub-137	20	F
sub-138	21	F
sub-139	31	F
sub-140	20	F
sub-141	21	F
sub-142	22	F
sub-143	34	M
sub-144	26	F
sub-145	25	F
sub-146	32	n/a
sub-201	19	M
sub-202	22	F
sub-203	29	F
sub-204	20	M
sub-205	29	F
sub-206	19	M
sub-207	19	F
sub-208	18	F
sub-209	19	F
sub-210	30	F
sub-211	26	F
sub-212	20	M
sub-213	21	M
sub-214	19	F
sub-215	22	F
sub-216	25	F
sub-217	23	F
sub-218	20	F
sub-219	23	F
sub-220	34	F
sub-221	20	M
sub-222	18	F
sub-223	23	M
sub-224	20	F
sub-225	24	F
sub-226	18	F
sub-227	23	M
sub-228	21	F
sub-229	22	M
sub-230	26	M
sub-231	21	F
sub-232	20	M
sub-233	24	M
sub-234	20	M
sub-235	21	M
sub-236	28	M
sub-237	22	M
sub-238	23	M
sub-239	21	M
sub-240	25	F
sub-241	28	M
sub-242	23	F
sub-243	26	F
sub-244	25	F
sub-245	21	M
sub-301	75	F
sub-302	78	F
sub-303	81	M
sub-304	71	F
sub-305	77	F
sub-306	71	F
sub-307	80	F
sub-308	71	F
sub-309	77	M
sub-310	73	F
sub-311	78	F
sub-312	80	M
sub-313	71	M
sub-314	76	F
sub-315	84	M
sub-316	77	M
sub-317	82	M
sub-318	71	M
sub-319	82	M
sub-320	70	F
sub-321	71	F
sub-322	79	M
sub-323	75	F
sub-324	70	F
sub-325	69	F
sub-326	71	M
sub-327	72	F
sub-328	76	F
sub-329	77	M
sub-330	76	M
sub-331	85	F
